Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
101,Sunday Jul 31,boxscore,LAD,@,COL,W,7,3,,68-33,1,up12.0,Gonsolin,Marquez,,3:11,D,36212,.29,+,
102,Monday Aug 1,boxscore,LAD,@,SFG,W,8,2,,69-33,1,up12.0,Ferguson,Webb,,2:50,N,34865,.27,++,
103,Tuesday Aug 2,boxscore,LAD,@,SFG,W,9,5,,70-33,1,up11.5,Anderson,Wood,,3:03,N,32798,.23,+++,
104,Wednesday Aug 3,boxscore,LAD,@,SFG,W,3,0,,71-33,1,up11.5,Urias,Cobb,Kimbrel,3:06,N,35400,.20,++++,
105,Thursday Aug 4,boxscore,LAD,@,SFG,W,5,3,,72-33,1,up12.5,Martin,Junis,Kimbrel,3:08,D,34640,.18,+++++,
106,Friday Aug 5,boxscore,LAD,,SDP,W,8,1,,73-33,1,up13.5,Gonsolin,Manaea,,3:03,N,52714,.22,++++++,
107,Saturday Aug 6,boxscore,LAD,,SDP,W,8,3,,74-33,1,up14.5,Martin,Clevinger,,3:08,N,52124,.18,+++++++,
108,Sunday Aug 7,boxscore,LAD,,SDP,W,4,0,,75-33,1,up15.5,Anderson,Darvish,,2:48,D,48093,.12,++++++++,
109,Tuesday Aug 9,boxscore,LAD,,MIN,W,10,3,,76-33,1,up16.0,Urias,Ryan,,3:13,N,47874,.08,+++++++++,
110,Wednesday Aug 10,boxscore,LAD,,MIN,W,8,5,,77-33,1,up16.0,Price,Fulmer,,3:15,N,53432,.05,++++++++++,
111,Friday Aug 12,boxscore,LAD,@,KCR,W,8,3,,78-33,1,up16.0,Gonsolin,Staumont,,3:12,N,24333,.05,+++++++++++,
112,Saturday Aug 13,boxscore,LAD,@,KCR,W,13,3,,79-33,1,up17.0,Bickford,Keller,,3:05,N,29689,.06,++++++++++++,
113,Sunday Aug 14,boxscore,LAD,@,KCR,L,0,4,,79-34,1,up16.0,Singer,Anderson,Barlow,2:49,D,18481,.05,-,
114,Monday Aug 15,boxscore,LAD,@,MIL,W,4,0,,80-34,1,up17.0,Urias,Peralta,,3:12,N,27084,.06,+,
115,Tuesday Aug 16,boxscore,LAD,@,MIL,L-wo,4,5,11,80-35,1,up17.0,Suter,Kimbrel,,3:52,N,32948,.03,-,
116,Wednesday Aug 17,boxscore,LAD,@,MIL,W,2,1,,81-35,1,up17.0,Gonsolin,Lauer,Kimbrel,2:49,N,30259,.04,+,
117,Thursday Aug 18,boxscore,LAD,@,MIL,L,3,5,,81-36,1,up17.0,Burnes,Heaney,Williams,2:58,D,37403,.04,-,
118,Friday Aug 19,boxscore,LAD,,MIA,W,2,1,,82-36,1,up18.0,Martin,Floro,Phillips,2:41,N,50431,.03,+,
119,Saturday Aug 20,boxscore,LAD,,MIA,W,7,0,,83-36,1,up18.0,May,Hoeing,,2:39,N,51813,.03,++,
120,Sunday Aug 21,boxscore,LAD,,MIA,W,10,3,,84-36,1,up18.0,Pepiot,Alcantara,,3:18,D,42125,.04,+++,
121,Monday Aug 22,boxscore,LAD,,MIL,L,0,4,,84-37,1,up17.5,Lauer,Urias,,3:02,N,37091,.03,-,
122,Tuesday Aug 23,boxscore,LAD,,MIL,W,10,1,,85-37,1,up18.5,Gonsolin,Burnes,,3:02,N,53222,.04,+,
123,Wednesday Aug 24,boxscore,LAD,,MIL,W,12,6,,86-37,1,up19.5,Heaney,Houser,,3:07,N,47216,.03,++,
124,Friday Aug 26,boxscore,LAD,@,MIA,W,10,6,10,87-37,1,up19.5,Price,Nardi,,4:18,N,9365,.03,+++,
125,Saturday Aug 27,boxscore,LAD,@,MIA,L,1,2,,87-38,1,up18.5,Alcantara,May,,2:17,N,23543,.03,-,
126,Sunday Aug 28,boxscore,LAD,@,MIA,W,8,1,,88-38,1,up19.5,Urias,Cabrera,,3:14,D,13617,.04,+,
127,Monday Aug 29,boxscore,LAD,@,MIA,W,3,2,10,89-38,1,up19.5,Kimbrel,Brazoban,Martin,3:27,N,10288,.01,++,
128,Tuesday Aug 30,boxscore,LAD,@,NYM,W,4,3,,90-38,1,up19.5,Hembree,Rodriguez,Reed,3:12,N,40607,.03,+++,
129,Wednesday Aug 31,boxscore,LAD,@,NYM,L,1,2,,90-39,1,up18.5,deGrom,Anderson,Díaz,2:19,N,41799,.01,-,
130,Thursday Sep 1,boxscore,LAD,@,NYM,L,3,5,,90-40,1,up18.0,Bassitt,Martin,Ottavino,3:14,D,36908,.01,--,
131,Friday Sep 2,boxscore,LAD,,SDP,L,1,7,,90-41,1,up17.0,Darvish,May,,3:30,N,45164,.02,---,
132,Saturday Sep 3,boxscore,LAD,,SDP,W,12,1,,91-41,1,up18.0,Urias,Manaea,,2:42,N,46144,.03,+,
133,Sunday Sep 4,boxscore,LAD,,SDP,W,9,4,,92-41,1,up19.0,Vesia,Clevinger,,4:08,D,48522,.02,++,
134,Monday Sep 5,boxscore,LAD,,SFG,L,4,7,,92-42,1,up19.0,Webb,Heaney,Doval,3:01,N,51887,.01,-,
